Cell_ID,Precursor,Cycle,Capacity
Cell_8,PET Bottle,35,292.84
Cell_8,PET Bottle,36,291.85
Cell_8,PET Bottle,37,292.52
Cell_8,PET Bottle,38,291.5
Cell_8,PET Bottle,39,291.72
Cell_8,PET Bottle,40,290.85
Cell_8,PET Bottle,41,290.62
Cell_8,PET Bottle,42,290.71
Cell_8,PET Bottle,43,289.37
Cell_8,PET Bottle,44,289.85
Cell_8,PET Bottle,45,288.94
Cell_8,PET Bottle,46,288.3
Cell_8,PET Bottle,47,287.13
Cell_8,PET Bottle,48,287.47
Cell_8,PET Bottle,49,286.37
Cell_8,PET Bottle,50,286.15
Cell_8,PET Bottle,51,285.46
Cell_8,PET Bottle,52,284.95
Cell_8,PET Bottle,53,284.67
Cell_8,PET Bottle,54,284.78
Cell_8,PET Bottle,55,284.34
Cell_8,PET Bottle,56,282.83
Cell_8,PET Bottle,57,282.37
Cell_8,PET Bottle,58,282.61
Cell_8,PET Bottle,59,281.84
Cell_8,PET Bottle,60,281.86
Cell_8,PET Bottle,61,280.55
Cell_8,PET Bottle,62,280.82
Cell_8,PET Bottle,63,279.64
Cell_8,PET Bottle,64,279.78
Cell_8,PET Bottle,65,278.81
Cell_8,PET Bottle,66,279.32
Cell_8,PET Bottle,67,277.97
Cell_8,PET Bottle,68,277.8
Cell_8,PET Bottle,69,278.36
Cell_8,PET Bottle,70,277.2
Cell_8,PET Bottle,71,276.21
Cell_8,PET Bottle,72,276.54
Cell_8,PET Bottle,73,275.29
Cell_8,PET Bottle,74,275.75
Cell_8,PET Bottle,75,275.24
Cell_8,PET Bottle,76,273.87
Cell_8,PET Bottle,77,273.59
Cell_8,PET Bottle,78,273.31
Cell_8,PET Bottle,79,273.03
Cell_8,PET Bottle,80,271.24
Cell_8,PET Bottle,81,272.21
Cell_8,PET Bottle,82,270.28
Cell_8,PET Bottle,83,271.43
Cell_8,PET Bottle,84,269.93
Cell_8,PET Bottle,85,270.32
Cell_8,PET Bottle,86,268.85
Cell_8,PET Bottle,87,269.31
Cell_8,PET Bottle,88,268.31
Cell_8,PET Bottle,89,268.49
Cell_8,PET Bottle,90,268.18
Cell_8,PET Bottle,91,267.66
Cell_8,PET Bottle,92,267.26
Cell_8,PET Bottle,93,266.21
Cell_8,PET Bottle,94,265.58
Cell_8,PET Bottle,95,265.32
Cell_8,PET Bottle,96,264.33
Cell_8,PET Bottle,97,265.26
Cell_8,PET Bottle,98,263.99
Cell_8,PET Bottle,99,263.53
Cell_8,PET Bottle,100,262.53
